,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
4865,25.0,male,High School,44742.0,2,RENT,5000.0,DEBTCONSOLIDATION,6.54,0.11,2.0,611,Yes
37803,23.0,male,Bachelor,48692.0,0,RENT,8467.0,MEDICAL,7.56,0.17,4.0,641,Yes
36546,28.0,male,Bachelor,73030.0,5,MORTGAGE,20000.0,EDUCATION,11.61,0.27,5.0,640,Yes
34075,24.0,female,Master,90969.0,3,MORTGAGE,10000.0,VENTURE,10.81,0.11,4.0,678,No
29712,44.0,male,Bachelor,36859.0,24,MORTGAGE,4500.0,DEBTCONSOLIDATION,15.62,0.12,15.0,664,No
913,24.0,female,Bachelor,88452.0,0,RENT,19000.0,HOMEIMPROVEMENT,10.62,0.21,3.0,653,No
10279,23.0,female,Bachelor,73201.0,0,MORTGAGE,5600.0,DEBTCONSOLIDATION,14.22,0.08,4.0,642,No
23759,29.0,female,Bachelor,79031.0,9,MORTGAGE,16000.0,PERSONAL,12.87,0.2,10.0,684,No
895,22.0,male,Associate,18923.0,0,RENT,1000.0,MEDICAL,14.3,0.05,3.0,599,No
18160,32.0,male,Master,204852.0,9,RENT,10000.0,PERSONAL,11.14,0.05,5.0,656,No
9128,22.0,female,High School,72838.0,0,MORTGAGE,24250.0,VENTURE,15.31,0.33,2.0,628,No
31840,40.0,male,High School,192484.0,19,MORTGAGE,12000.0,EDUCATION,14.27,0.06,17.0,679,Yes
673,21.0,male,Associate,25710.0,0,OWN,2400.0,MEDICAL,11.49,0.09,4.0,623,No
12487,24.0,female,Associate,99003.0,2,MORTGAGE,5325.0,VENTURE,11.01,0.05,3.0,682,Yes
10090,22.0,female,Bachelor,71937.0,0,OTHER,12000.0,MEDICAL,11.01,0.17,3.0,529,No
1830,22.0,male,Bachelor,86113.0,0,RENT,15000.0,MEDICAL,16.77,0.17,2.0,673,No
23512,34.0,female,High School,123635.0,13,RENT,8400.0,EDUCATION,17.19,0.07,10.0,630,No
26647,27.0,male,High School,132853.0,4,MORTGAGE,3600.0,HOMEIMPROVEMENT,6.03,0.03,5.0,645,Yes
7241,24.0,male,Bachelor,142765.0,0,RENT,7000.0,HOMEIMPROVEMENT,8.49,0.05,2.0,643,Yes
28014,27.0,female,Master,48807.0,5,OWN,8000.0,HOMEIMPROVEMENT,12.53,0.16,5.0,639,Yes
26420,31.0,male,Bachelor,46769.0,6,RENT,14400.0,VENTURE,8.94,0.31,7.0,563,No
15296,26.0,male,Master,157279.0,3,MORTGAGE,35000.0,PERSONAL,18.25,0.22,4.0,693,No
6594,24.0,male,Associate,54011.0,3,MORTGAGE,5000.0,MEDICAL,11.99,0.09,3.0,594,No
22635,34.0,female,Bachelor,68448.0,11,OWN,12100.0,MEDICAL,5.79,0.18,9.0,723,Yes
11856,25.0,male,Associate,93207.0,3,MORTGAGE,20000.0,PERSONAL,11.01,0.21,2.0,552,Yes
26738,29.0,male,Associate,37021.0,7,RENT,15000.0,DEBTCONSOLIDATION,16.4,0.41,10.0,637,No
41639,23.0,male,Associate,66861.0,0,RENT,12307.0,MEDICAL,10.92,0.18,4.0,646,Yes
22795,27.0,male,Bachelor,70530.0,4,MORTGAGE,3250.0,MEDICAL,11.86,0.05,8.0,653,Yes
38284,26.0,female,Associate,54693.0,3,RENT,4800.0,PERSONAL,13.23,0.09,4.0,649,Yes
22478,33.0,male,Bachelor,66985.0,10,OWN,12000.0,HOMEIMPROVEMENT,7.51,0.18,9.0,703,Yes
42797,24.0,female,Associate,36771.0,5,RENT,13000.0,PERSONAL,12.39,0.35,4.0,638,No
436,23.0,female,Master,22583.0,1,OWN,4000.0,EDUCATION,5.99,0.18,2.0,645,No
29186,37.0,male,High School,241002.0,15,MORTGAGE,25000.0,EDUCATION,15.57,0.1,14.0,579,No
26648,28.0,female,Master,41028.0,3,RENT,15000.0,PERSONAL,11.01,0.37,6.0,641,No
31977,50.0,female,High School,82734.0,26,MORTGAGE,10000.0,PERSONAL,11.49,0.12,16.0,594,No
40919,28.0,male,Bachelor,99300.0,5,RENT,4000.0,DEBTCONSOLIDATION,8.73,0.04,10.0,621,Yes
14005,25.0,female,Associate,121181.0,6,MORTGAGE,12000.0,VENTURE,9.91,0.1,4.0,638,Yes
3921,26.0,male,Associate,44063.0,1,RENT,4000.0,PERSONAL,14.54,0.09,2.0,664,No
44309,25.0,male,Associate,59624.0,0,MORTGAGE,7000.0,EDUCATION,7.59,0.12,5.0,643,No
29025,29.0,female,Bachelor,577347.0,3,MORTGAGE,6500.0,DEBTCONSOLIDATION,5.42,0.01,9.0,686,No
36858,37.0,male,Master,33248.0,13,RENT,5000.0,EDUCATION,8.39,0.15,9.0,729,No
1274,21.0,female,High School,31293.0,3,MORTGAGE,6500.0,PERSONAL,14.26,0.21,2.0,616,No
13166,24.0,male,Bachelor,138831.0,1,RENT,12000.0,EDUCATION,6.54,0.09,3.0,572,Yes
44343,25.0,female,Associate,62348.0,2,RENT,20027.0,EDUCATION,10.87,0.32,4.0,625,No
32976,36.0,female,Associate,38342.0,13,RENT,6576.0,EDUCATION,5.68,0.17,11.0,655,No
12538,26.0,male,Master,72851.0,4,RENT,12000.0,DEBTCONSOLIDATION,6.62,0.16,2.0,540,Yes
37205,27.0,male,Bachelor,41072.0,4,RENT,3218.0,VENTURE,15.05,0.08,4.0,570,No
42610,26.0,female,Master,39651.0,4,RENT,1580.0,HOMEIMPROVEMENT,13.55,0.04,3.0,639,No
22518,35.0,male,Master,61032.0,16,RENT,7200.0,VENTURE,11.99,0.12,9.0,693,No
1351,21.0,female,Bachelor,36870.0,0,RENT,1000.0,EDUCATION,10.99,0.03,4.0,648,Yes
1521,24.0,female,Master,36860.0,0,RENT,1400.0,MEDICAL,15.62,0.04,4.0,635,No
15239,22.0,female,Bachelor,151143.0,1,OTHER,10000.0,VENTURE,14.74,0.07,2.0,688,No
36328,26.0,female,Bachelor,85048.0,2,RENT,5600.0,MEDICAL,13.55,0.07,5.0,625,Yes
104,23.0,male,Associate,100756.0,0,RENT,25300.0,EDUCATION,10.99,0.25,3.0,689,No
30944,42.0,male,High School,37086.0,19,RENT,4200.0,DEBTCONSOLIDATION,7.49,0.11,13.0,545,Yes
37973,26.0,female,Bachelor,64725.0,4,RENT,6800.0,EDUCATION,9.91,0.11,4.0,646,No
4825,22.0,female,Associate,43111.0,1,RENT,5000.0,DEBTCONSOLIDATION,7.88,0.12,3.0,600,Yes
30997,38.0,male,High School,87400.0,14,MORTGAGE,8000.0,PERSONAL,12.21,0.09,14.0,651,No
43049,29.0,male,Bachelor,65919.0,3,RENT,15000.0,HOMEIMPROVEMENT,11.27,0.23,5.0,661,No
39376,23.0,female,Associate,120893.0,0,MORTGAGE,10000.0,PERSONAL,8.97,0.08,3.0,627,No
12981,25.0,female,High School,76276.0,3,MORTGAGE,3000.0,MEDICAL,10.65,0.04,2.0,681,No
4972,24.0,male,Bachelor,44046.0,2,RENT,5000.0,DEBTCONSOLIDATION,14.59,0.11,2.0,661,No
15394,23.0,female,Bachelor,78962.0,1,RENT,15000.0,MEDICAL,7.88,0.19,3.0,636,No
35700,30.0,male,Bachelor,146301.0,10,MORTGAGE,25361.0,HOMEIMPROVEMENT,16.0,0.17,9.0,580,Yes
22255,32.0,male,Associate,49948.0,9,RENT,6400.0,MEDICAL,15.65,0.13,6.0,644,No
22971,35.0,male,Associate,39598.0,16,RENT,8000.0,HOMEIMPROVEMENT,5.99,0.2,9.0,679,No
21728,27.0,female,Associate,54338.0,6,RENT,6000.0,PERSONAL,17.19,0.11,5.0,680,No
16426,26.0,female,Doctorate,39293.0,0,RENT,7500.0,VENTURE,13.79,0.19,3.0,625,Yes
24929,27.0,male,Associate,94659.0,1,MORTGAGE,5125.0,VENTURE,8.59,0.05,8.0,652,Yes
15751,26.0,male,Bachelor,183343.0,4,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.26,0.11,3.0,613,No
18247,35.0,male,Associate,97120.0,14,RENT,24000.0,PERSONAL,13.92,0.25,5.0,590,Yes
41761,33.0,female,Bachelor,178384.0,13,OWN,8000.0,MEDICAL,13.98,0.04,5.0,636,Yes
3994,22.0,female,Bachelor,65000.0,4,RENT,4000.0,EDUCATION,7.9,0.06,4.0,681,No
36557,27.0,female,High School,60898.0,4,OWN,9873.0,PERSONAL,12.01,0.16,5.0,657,Yes
23503,32.0,male,Associate,79371.0,11,RENT,8400.0,PERSONAL,13.61,0.11,9.0,638,Yes
7209,25.0,female,Master,35649.0,4,RENT,6250.0,VENTURE,15.96,0.18,3.0,657,No
8575,23.0,male,Associate,71477.0,0,MORTGAGE,13000.0,EDUCATION,5.42,0.18,4.0,561,No
27451,31.0,female,Associate,89696.0,12,RENT,15000.0,EDUCATION,10.59,0.17,9.0,628,No
34442,44.0,female,High School,85343.0,25,RENT,9504.0,EDUCATION,14.13,0.11,14.0,678,Yes
42147,22.0,male,Bachelor,37217.0,2,RENT,12000.0,EDUCATION,10.23,0.32,3.0,649,No
34475,24.0,male,High School,301083.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,8.78,0.02,5.0,628,Yes
44679,44.0,male,Bachelor,90949.0,20,MORTGAGE,15393.0,MEDICAL,14.36,0.17,11.0,723,No
16890,24.0,male,High School,60910.0,0,MORTGAGE,12500.0,EDUCATION,9.32,0.21,3.0,663,Yes
1494,24.0,male,Associate,33509.0,0,MORTGAGE,7500.0,DEBTCONSOLIDATION,10.39,0.22,2.0,655,Yes
8377,26.0,female,High School,78020.0,2,RENT,7500.0,DEBTCONSOLIDATION,9.83,0.1,3.0,584,Yes
42521,27.0,male,Associate,53623.0,4,RENT,16000.0,EDUCATION,10.78,0.3,5.0,659,No
38092,23.0,female,Bachelor,33130.0,0,RENT,4000.0,VENTURE,8.57,0.12,3.0,594,No
32497,63.0,male,High School,2139143.0,43,RENT,12025.0,EDUCATION,14.27,0.01,30.0,724,No
9998,22.0,male,Bachelor,75198.0,0,RENT,9200.0,PERSONAL,12.98,0.12,3.0,590,Yes
4272,22.0,male,High School,49297.0,0,MORTGAGE,8100.0,PERSONAL,7.14,0.16,3.0,467,Yes
41720,23.0,male,Bachelor,87538.0,0,OWN,16000.0,EDUCATION,10.76,0.18,3.0,651,Yes
12044,22.0,female,High School,88250.0,0,MORTGAGE,7500.0,PERSONAL,11.01,0.08,2.0,561,No
32749,28.0,male,Associate,99941.0,6,MORTGAGE,18233.0,DEBTCONSOLIDATION,9.45,0.18,6.0,607,Yes
8970,23.0,male,Associate,72817.0,0,MORTGAGE,20000.0,PERSONAL,6.54,0.27,3.0,671,No
9427,24.0,female,High School,91082.0,2,RENT,8000.0,VENTURE,15.37,0.09,3.0,550,Yes
31799,37.0,female,Bachelor,176388.0,13,MORTGAGE,10000.0,DEBTCONSOLIDATION,13.99,0.06,16.0,698,Yes
29949,44.0,male,Associate,37076.0,22,RENT,5000.0,VENTURE,13.98,0.13,11.0,730,No
24152,30.0,male,Associate,51823.0,8,RENT,10000.0,MEDICAL,11.01,0.19,7.0,515,Yes
3222,22.0,female,Bachelor,69655.0,1,RENT,3500.0,EDUCATION,12.61,0.05,2.0,686,Yes
42508,41.0,female,Bachelor,57348.0,20,RENT,25000.0,VENTURE,12.47,0.44,15.0,556,No
15814,26.0,male,Master,117484.0,4,RENT,16000.0,VENTURE,12.8,0.14,3.0,632,Yes
19217,34.0,male,Master,49215.0,8,RENT,13200.0,PERSONAL,12.42,0.27,8.0,620,No
38279,25.0,male,High School,36913.0,2,RENT,2000.0,MEDICAL,11.21,0.05,3.0,646,Yes
7356,22.0,female,Associate,64003.0,1,MORTGAGE,6400.0,PERSONAL,14.54,0.1,4.0,643,No
30727,45.0,male,Bachelor,169566.0,20,RENT,8175.0,EDUCATION,5.99,0.05,17.0,629,Yes
10020,24.0,male,Master,78807.0,1,OWN,3500.0,EDUCATION,6.76,0.04,4.0,724,No
34490,31.0,female,Associate,110321.0,7,MORTGAGE,15000.0,MEDICAL,9.87,0.14,8.0,650,No
3611,23.0,male,Master,63317.0,0,RENT,3625.0,PERSONAL,10.59,0.06,2.0,650,No
19588,32.0,female,Bachelor,81813.0,11,RENT,3000.0,DEBTCONSOLIDATION,7.14,0.04,9.0,593,Yes
7174,22.0,male,Associate,92486.0,0,RENT,7000.0,EDUCATION,11.12,0.08,2.0,662,No
11489,22.0,male,Bachelor,75032.0,0,RENT,10000.0,DEBTCONSOLIDATION,11.01,0.13,4.0,631,No
5330,23.0,male,Associate,54805.0,3,MORTGAGE,14000.0,EDUCATION,11.49,0.26,2.0,596,Yes
17860,34.0,male,Bachelor,391934.0,11,MORTGAGE,35000.0,MEDICAL,16.77,0.09,6.0,649,No
12068,23.0,female,Associate,95789.0,0,MORTGAGE,3200.0,EDUCATION,7.88,0.03,2.0,614,Yes
40338,27.0,male,Bachelor,87230.0,6,RENT,10000.0,MEDICAL,10.95,0.11,9.0,679,Yes
43574,27.0,male,Bachelor,36851.0,5,RENT,14500.0,VENTURE,12.45,0.39,7.0,693,No
462,26.0,female,High School,187161.0,7,RENT,24000.0,DEBTCONSOLIDATION,10.99,0.13,4.0,633,Yes
17784,23.0,female,Associate,61576.0,0,MORTGAGE,2500.0,VENTURE,10.99,0.04,2.0,560,Yes
30054,46.0,female,Master,54825.0,23,MORTGAGE,12250.0,MEDICAL,6.54,0.22,16.0,691,Yes
31093,38.0,male,High School,92128.0,16,MORTGAGE,18125.0,HOMEIMPROVEMENT,14.84,0.2,12.0,595,Yes
2084,22.0,male,Bachelor,26976.0,3,RENT,2400.0,HOMEIMPROVEMENT,16.29,0.09,4.0,632,No
8246,25.0,male,Bachelor,46139.0,2,RENT,7500.0,PERSONAL,8.32,0.16,4.0,663,No
29050,27.0,male,High School,144961.0,4,MORTGAGE,16000.0,VENTURE,12.21,0.11,5.0,547,Yes
5427,26.0,female,Bachelor,67131.0,2,RENT,5000.0,VENTURE,13.48,0.07,4.0,650,Yes
23520,29.0,male,Master,77827.0,5,MORTGAGE,3000.0,MEDICAL,11.01,0.04,10.0,631,No
34925,24.0,male,Bachelor,111321.0,2,RENT,6500.0,EDUCATION,8.31,0.06,3.0,684,Yes
39686,29.0,female,Master,144915.0,7,MORTGAGE,20000.0,PERSONAL,13.71,0.14,6.0,654,Yes
2318,21.0,female,Master,33155.0,0,RENT,2500.0,EDUCATION,5.42,0.08,4.0,597,Yes
353,23.0,female,High School,19859.0,0,OWN,2000.0,PERSONAL,6.39,0.1,3.0,491,Yes
4984,25.0,female,Associate,51627.0,0,RENT,5000.0,EDUCATION,10.99,0.1,2.0,677,Yes
36014,28.0,female,High School,58322.0,5,OWN,1500.0,VENTURE,13.47,0.03,5.0,617,No
3700,21.0,male,Associate,24064.0,0,RENT,4000.0,EDUCATION,14.35,0.17,3.0,633,No
16927,22.0,male,Master,43378.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,5.79,0.18,3.0,687,No
41699,32.0,male,High School,51206.0,9,RENT,2000.0,VENTURE,13.82,0.04,9.0,528,Yes
39357,23.0,male,Master,49247.0,5,MORTGAGE,5000.0,MEDICAL,7.68,0.1,4.0,627,No
996,24.0,female,High School,58556.0,0,RENT,18000.0,PERSONAL,6.54,0.31,2.0,634,No
31983,36.0,female,Master,46976.0,15,RENT,2400.0,EDUCATION,18.39,0.05,13.0,562,Yes
23048,28.0,male,High School,72994.0,6,MORTGAGE,6000.0,PERSONAL,11.01,0.08,5.0,666,No
36392,27.0,male,Master,68056.0,8,MORTGAGE,20000.0,EDUCATION,11.01,0.29,7.0,693,No
30731,45.0,male,Associate,76647.0,26,MORTGAGE,12000.0,VENTURE,9.91,0.16,13.0,618,Yes
36460,25.0,male,Bachelor,49009.0,3,MORTGAGE,10000.0,DEBTCONSOLIDATION,5.84,0.2,4.0,617,Yes
38028,26.0,female,High School,150937.0,2,MORTGAGE,6000.0,PERSONAL,10.68,0.04,3.0,659,Yes
7623,24.0,female,Bachelor,97131.0,3,RENT,6400.0,MEDICAL,7.49,0.07,4.0,650,Yes
42837,25.0,female,High School,63512.0,4,MORTGAGE,10000.0,MEDICAL,12.69,0.16,4.0,666,No
4502,26.0,male,Bachelor,64635.0,3,RENT,4800.0,PERSONAL,15.62,0.07,3.0,561,No
26688,29.0,male,High School,132933.0,10,MORTGAGE,12000.0,VENTURE,10.37,0.09,10.0,607,Yes
13883,24.0,female,Master,61119.0,3,RENT,14000.0,HOMEIMPROVEMENT,9.88,0.23,2.0,575,Yes
23737,27.0,male,High School,39067.0,4,RENT,9400.0,MEDICAL,6.91,0.24,5.0,686,Yes
31080,36.0,female,High School,91120.0,12,RENT,10000.0,HOMEIMPROVEMENT,11.99,0.11,12.0,628,No
25561,32.0,female,Bachelor,104200.0,10,MORTGAGE,8000.0,DEBTCONSOLIDATION,5.79,0.08,5.0,576,Yes
44387,25.0,male,High School,43980.0,2,RENT,12000.0,EDUCATION,9.91,0.27,4.0,545,No
1100,23.0,male,High School,64829.0,0,RENT,17500.0,VENTURE,6.54,0.27,2.0,606,No
2012,22.0,male,High School,47934.0,0,RENT,14000.0,MEDICAL,10.37,0.29,3.0,673,No
26402,29.0,female,Bachelor,121246.0,7,MORTGAGE,15000.0,MEDICAL,12.04,0.12,5.0,608,Yes
21202,29.0,female,High School,55859.0,9,MORTGAGE,9600.0,VENTURE,10.36,0.17,5.0,703,No
29322,41.0,male,Associate,90936.0,20,RENT,20000.0,PERSONAL,11.14,0.22,11.0,689,No
21585,29.0,female,High School,59592.0,3,OWN,4400.0,PERSONAL,6.62,0.07,9.0,642,Yes
39172,29.0,male,Bachelor,144911.0,3,RENT,10111.0,EDUCATION,5.49,0.07,7.0,677,No
3362,21.0,male,High School,44309.0,0,RENT,11000.0,HOMEIMPROVEMENT,10.37,0.25,4.0,529,No
14830,24.0,male,Bachelor,57444.0,1,RENT,15000.0,VENTURE,18.64,0.26,4.0,637,No
38747,27.0,male,Bachelor,58646.0,6,RENT,5500.0,MEDICAL,11.5,0.09,5.0,600,Yes
41698,28.0,female,Associate,66954.0,7,MORTGAGE,20000.0,EDUCATION,6.92,0.3,7.0,612,Yes
38609,24.0,female,High School,55383.0,2,MORTGAGE,6000.0,VENTURE,6.96,0.11,3.0,585,Yes
24678,27.0,female,Bachelor,90930.0,3,MORTGAGE,10000.0,MEDICAL,5.79,0.11,7.0,610,Yes
25387,28.0,male,Bachelor,76089.0,6,RENT,12000.0,DEBTCONSOLIDATION,11.01,0.16,7.0,676,Yes
37241,29.0,female,Bachelor,31052.0,9,RENT,3000.0,PERSONAL,13.17,0.1,9.0,669,Yes
15603,23.0,female,High School,24168.0,2,OWN,6000.0,PERSONAL,6.54,0.25,2.0,535,No
15444,23.0,male,Associate,163135.0,3,MORTGAGE,10000.0,EDUCATION,18.43,0.06,4.0,654,No
11709,23.0,male,Associate,92220.0,1,RENT,10000.0,EDUCATION,15.37,0.11,3.0,646,No
42572,26.0,female,Bachelor,22849.0,3,RENT,4000.0,DEBTCONSOLIDATION,11.78,0.18,5.0,648,No
36372,36.0,male,Associate,73005.0,14,RENT,15000.0,HOMEIMPROVEMENT,11.01,0.21,14.0,626,Yes
17034,25.0,female,High School,76316.0,3,MORTGAGE,25000.0,PERSONAL,13.87,0.33,4.0,639,Yes
8180,26.0,male,Bachelor,68152.0,3,MORTGAGE,6000.0,EDUCATION,5.42,0.09,4.0,588,Yes
15864,25.0,male,Associate,242357.0,5,MORTGAGE,14000.0,DEBTCONSOLIDATION,7.66,0.06,4.0,610,No
5763,22.0,male,Bachelor,54850.0,0,RENT,5400.0,EDUCATION,7.29,0.1,2.0,552,Yes
37031,32.0,male,Master,90064.0,7,RENT,8124.0,EDUCATION,8.72,0.09,5.0,656,No
20094,27.0,female,Associate,39712.0,5,MORTGAGE,7500.0,MEDICAL,11.59,0.19,9.0,628,No
43061,36.0,male,High School,65929.0,12,MORTGAGE,5000.0,VENTURE,12.91,0.08,11.0,657,No
15738,23.0,male,High School,192966.0,1,MORTGAGE,35000.0,VENTURE,15.23,0.18,2.0,654,Yes
13969,23.0,male,Master,120361.0,1,MORTGAGE,25000.0,EDUCATION,15.7,0.21,2.0,681,Yes
44135,24.0,male,Bachelor,90288.0,0,MORTGAGE,10000.0,VENTURE,15.34,0.11,3.0,640,No
29946,47.0,male,Master,35328.0,23,RENT,5000.0,EDUCATION,5.42,0.14,15.0,670,No
1281,26.0,female,Associate,72687.0,1,RENT,16000.0,DEBTCONSOLIDATION,7.49,0.22,2.0,624,Yes
12071,22.0,female,Associate,95977.0,0,MORTGAGE,11000.0,VENTURE,13.11,0.11,4.0,618,No
1163,23.0,male,Associate,31092.0,3,OWN,7200.0,MEDICAL,8.49,0.23,2.0,511,Yes
27344,30.0,female,Bachelor,162863.0,11,MORTGAGE,32000.0,DEBTCONSOLIDATION,7.9,0.2,9.0,728,Yes
5633,23.0,female,Master,55544.0,0,MORTGAGE,10000.0,VENTURE,16.11,0.18,4.0,662,No
43478,30.0,female,Bachelor,139867.0,5,RENT,4123.0,MEDICAL,12.72,0.03,8.0,663,No
32699,26.0,male,High School,102794.0,1,MORTGAGE,10000.0,EDUCATION,11.66,0.1,2.0,617,Yes
9253,22.0,female,Bachelor,73122.0,0,MORTGAGE,8000.0,MEDICAL,8.07,0.11,4.0,687,No
13630,23.0,female,Bachelor,115190.0,0,MORTGAGE,7200.0,MEDICAL,14.79,0.06,4.0,613,No
23680,32.0,female,Associate,78460.0,13,OWN,10000.0,VENTURE,11.99,0.13,5.0,657,No
9858,25.0,female,Master,48842.0,4,RENT,9000.0,PERSONAL,12.53,0.18,2.0,635,No
20680,27.0,male,High School,51163.0,6,MORTGAGE,8000.0,PERSONAL,13.61,0.16,9.0,634,No
6788,25.0,female,High School,29491.0,1,RENT,7000.0,MEDICAL,11.01,0.24,2.0,575,Yes
7387,24.0,male,Master,26741.0,1,RENT,6600.0,EDUCATION,12.68,0.25,4.0,586,No
2954,25.0,male,High School,24952.0,1,RENT,3100.0,MEDICAL,11.71,0.12,4.0,643,Yes
32107,37.0,male,High School,16000.0,16,RENT,4000.0,VENTURE,9.99,0.25,13.0,724,No
24757,27.0,male,Bachelor,91221.0,5,MORTGAGE,8000.0,VENTURE,10.95,0.09,7.0,644,Yes
35047,25.0,female,High School,33503.0,2,RENT,2430.0,EDUCATION,10.97,0.07,4.0,655,Yes
37037,25.0,male,Associate,54736.0,1,RENT,11100.0,PERSONAL,13.11,0.2,2.0,647,Yes
25083,29.0,male,Bachelor,40303.0,9,RENT,12000.0,MEDICAL,16.45,0.3,9.0,505,No
