,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
75,34.0,female,Master,65174.0,12,RENT,3200.0,MEDICAL,6.76,0.05,10.0,650,Yes
76,27.0,female,Bachelor,112374.0,6,RENT,12000.0,HOMEIMPROVEMENT,8.9,0.11,8.0,625,Yes
77,32.0,female,Master,155893.0,8,RENT,20000.0,MEDICAL,11.01,0.13,10.0,705,No
78,35.0,female,Master,54917.0,11,RENT,12000.0,MEDICAL,11.63,0.22,8.0,688,Yes
79,23.0,male,Bachelor,42667.0,0,RENT,6500.0,MEDICAL,13.22,0.15,4.0,503,Yes
80,25.0,male,High School,59110.0,2,RENT,8000.0,MEDICAL,14.99,0.14,4.0,607,Yes
81,24.0,male,High School,32782.0,5,RENT,3000.0,MEDICAL,11.01,0.09,2.0,538,No
82,24.0,female,Associate,67014.0,0,RENT,4800.0,PERSONAL,6.92,0.07,3.0,649,No
83,25.0,male,Bachelor,82715.0,2,RENT,9500.0,DEBTCONSOLIDATION,7.14,0.11,3.0,658,No
84,35.0,female,Bachelor,62488.0,10,RENT,8000.0,DEBTCONSOLIDATION,13.11,0.13,10.0,660,Yes
85,23.0,female,High School,91967.0,2,RENT,18000.0,EDUCATION,9.88,0.2,3.0,578,Yes
86,27.0,male,Bachelor,59693.0,2,RENT,4000.0,VENTURE,10.59,0.07,5.0,690,Yes
87,24.0,male,Associate,136730.0,0,MORTGAGE,10500.0,VENTURE,11.01,0.08,4.0,629,No
88,25.0,female,High School,64114.0,0,MORTGAGE,1750.0,HOMEIMPROVEMENT,11.89,0.03,2.0,626,Yes
89,25.0,male,High School,61329.0,2,RENT,10000.0,EDUCATION,7.49,0.16,3.0,703,Yes
90,23.0,male,Bachelor,87369.0,3,MORTGAGE,20000.0,EDUCATION,7.49,0.23,2.0,680,No
91,36.0,male,Associate,97143.0,14,RENT,7500.0,EDUCATION,11.63,0.08,14.0,606,No
92,22.0,male,High School,85133.0,0,MORTGAGE,13750.0,VENTURE,10.75,0.16,3.0,621,Yes
93,30.0,male,Bachelor,117149.0,8,RENT,16756.0,HOMEIMPROVEMENT,10.81,0.14,5.0,653,No
94,32.0,female,Bachelor,123714.0,7,RENT,18000.0,MEDICAL,11.08,0.15,10.0,552,Yes
95,41.0,female,High School,205172.0,17,MORTGAGE,20000.0,MEDICAL,11.11,0.1,11.0,610,No
96,43.0,female,Doctorate,60835.0,24,OWN,5000.0,MEDICAL,13.35,0.08,12.0,672,No
97,24.0,female,Bachelor,40721.0,0,RENT,8875.0,EDUCATION,11.85,0.22,6.0,552,Yes
98,28.0,male,Associate,111172.0,7,MORTGAGE,24500.0,VENTURE,18.3,0.22,7.0,614,Yes
99,23.0,female,Associate,54407.0,5,OWN,14300.0,EDUCATION,10.99,0.26,2.0,564,Yes
100,25.0,female,Associate,55226.0,2,RENT,12000.0,DEBTCONSOLIDATION,9.62,0.22,3.0,618,No
101,33.0,male,Bachelor,144667.0,9,MORTGAGE,6000.0,PERSONAL,6.96,0.04,9.0,680,No
102,41.0,female,Bachelor,86525.0,18,MORTGAGE,12000.0,DEBTCONSOLIDATION,11.01,0.14,15.0,639,Yes
103,24.0,male,High School,77959.0,5,MORTGAGE,6000.0,VENTURE,10.75,0.08,3.0,691,Yes
104,29.0,male,Associate,80191.0,11,RENT,8800.0,DEBTCONSOLIDATION,10.71,0.11,10.0,655,No
105,30.0,female,Bachelor,91119.0,7,RENT,5600.0,PERSONAL,15.99,0.06,7.0,675,No
106,34.0,female,High School,46763.0,9,RENT,10500.0,MEDICAL,13.49,0.22,5.0,650,Yes
107,28.0,male,Associate,29940.0,4,RENT,5000.0,EDUCATION,11.86,0.17,8.0,619,No
108,30.0,female,Bachelor,126967.0,9,MORTGAGE,10000.0,EDUCATION,5.99,0.08,8.0,604,Yes
109,48.0,male,High School,72993.0,25,MORTGAGE,2500.0,DEBTCONSOLIDATION,7.29,0.03,11.0,702,No
110,26.0,female,Doctorate,39293.0,0,RENT,7500.0,VENTURE,13.79,0.19,3.0,625,Yes
111,22.0,male,High School,27122.0,2,MORTGAGE,2400.0,MEDICAL,11.71,0.09,3.0,612,Yes
112,37.0,male,Bachelor,97218.0,12,MORTGAGE,25000.0,PERSONAL,13.32,0.26,9.0,702,No
113,23.0,male,High School,109370.0,1,RENT,7500.0,EDUCATION,11.03,0.07,4.0,614,Yes
114,21.0,male,Associate,40577.0,0,MORTGAGE,3000.0,MEDICAL,9.99,0.07,2.0,648,Yes
115,23.0,male,Associate,34523.0,0,RENT,7000.0,DEBTCONSOLIDATION,10.43,0.2,3.0,620,Yes
116,46.0,male,Bachelor,111253.0,24,MORTGAGE,12925.0,EDUCATION,11.01,0.12,17.0,687,Yes
117,25.0,male,Bachelor,74345.0,2,MORTGAGE,17000.0,HOMEIMPROVEMENT,6.03,0.23,6.0,617,Yes
118,26.0,female,Associate,121083.0,1,MORTGAGE,2000.0,HOMEIMPROVEMENT,5.42,0.02,2.0,606,Yes
119,28.0,female,Master,96670.0,5,RENT,20000.0,PERSONAL,13.92,0.21,7.0,628,No
120,28.0,female,Master,51439.0,1,RENT,4800.0,MEDICAL,12.42,0.09,9.0,656,Yes
121,26.0,male,Master,36974.0,2,MORTGAGE,15000.0,HOMEIMPROVEMENT,11.16,0.41,2.0,594,Yes
122,22.0,male,Associate,86220.0,0,MORTGAGE,1500.0,VENTURE,15.23,0.02,2.0,666,No
123,22.0,male,Master,106494.0,2,MORTGAGE,15000.0,VENTURE,11.83,0.14,4.0,663,No
124,27.0,female,Associate,81679.0,8,RENT,8000.0,PERSONAL,6.03,0.1,5.0,675,Yes
125,25.0,female,Bachelor,65512.0,7,RENT,4000.0,EDUCATION,11.89,0.06,2.0,640,No
126,28.0,female,Master,260217.0,7,MORTGAGE,15000.0,VENTURE,16.02,0.06,8.0,594,Yes
127,38.0,female,High School,115996.0,14,MORTGAGE,1500.0,PERSONAL,14.26,0.01,14.0,682,Yes
128,30.0,male,High School,204876.0,7,RENT,25000.0,HOMEIMPROVEMENT,15.21,0.12,5.0,697,Yes
129,30.0,female,Associate,70176.0,9,MORTGAGE,6000.0,HOMEIMPROVEMENT,14.65,0.09,8.0,498,Yes
130,22.0,male,Bachelor,41314.0,0,MORTGAGE,5000.0,EDUCATION,13.85,0.12,3.0,642,No
131,28.0,male,Bachelor,73030.0,5,MORTGAGE,20000.0,EDUCATION,11.61,0.27,5.0,640,Yes
132,30.0,female,Bachelor,48859.0,11,RENT,7500.0,VENTURE,12.69,0.15,5.0,703,Yes
133,44.0,male,Associate,48472.0,20,RENT,6000.0,PERSONAL,11.01,0.12,15.0,567,Yes
134,28.0,female,Bachelor,84603.0,6,RENT,2500.0,DEBTCONSOLIDATION,11.93,0.03,5.0,646,Yes
135,27.0,female,High School,191938.0,3,MORTGAGE,15000.0,PERSONAL,11.61,0.08,7.0,490,Yes
136,27.0,female,Bachelor,77804.0,2,MORTGAGE,7503.0,MEDICAL,9.92,0.1,5.0,610,No
137,29.0,male,High School,65905.0,5,MORTGAGE,12000.0,MEDICAL,11.99,0.18,8.0,531,Yes
138,22.0,female,Associate,31313.0,0,OWN,5000.0,VENTURE,8.37,0.16,2.0,577,No
139,25.0,female,Bachelor,61228.0,4,MORTGAGE,8000.0,HOMEIMPROVEMENT,10.0,0.13,2.0,677,No
140,24.0,female,Bachelor,94382.0,3,MORTGAGE,8500.0,DEBTCONSOLIDATION,7.51,0.09,4.0,606,Yes
141,26.0,female,Associate,115592.0,6,MORTGAGE,5000.0,PERSONAL,12.68,0.04,2.0,496,Yes
142,23.0,male,High School,111301.0,2,MORTGAGE,24250.0,EDUCATION,11.12,0.22,2.0,568,Yes
143,29.0,male,Bachelor,54031.0,4,MORTGAGE,9264.0,DEBTCONSOLIDATION,8.36,0.17,6.0,655,Yes
144,27.0,female,Bachelor,181141.0,4,RENT,25000.0,EDUCATION,11.36,0.14,6.0,590,No
145,25.0,female,Bachelor,216723.0,1,RENT,3000.0,VENTURE,11.12,0.01,2.0,626,Yes
146,38.0,female,Associate,243428.0,14,MORTGAGE,15000.0,VENTURE,12.04,0.06,13.0,561,Yes
147,22.0,female,High School,84671.0,0,OWN,8000.0,VENTURE,12.84,0.09,3.0,664,No
148,33.0,female,High School,61022.0,13,MORTGAGE,16000.0,VENTURE,13.75,0.26,9.0,667,No
149,30.0,male,Master,132783.0,8,OWN,12000.0,PERSONAL,13.57,0.09,10.0,660,No
150,23.0,male,Bachelor,34445.0,0,RENT,4000.0,EDUCATION,9.34,0.12,3.0,671,Yes
151,28.0,male,Bachelor,75478.0,7,RENT,13375.0,PERSONAL,13.2,0.18,6.0,658,Yes
152,22.0,female,Associate,66890.0,1,RENT,4500.0,DEBTCONSOLIDATION,6.76,0.07,4.0,530,Yes
153,26.0,male,Associate,24874.0,4,RENT,4000.0,DEBTCONSOLIDATION,12.18,0.16,4.0,573,Yes
154,22.0,female,Associate,69352.0,1,MORTGAGE,7000.0,EDUCATION,7.14,0.1,3.0,647,No
155,30.0,female,Master,51274.0,8,RENT,5000.0,PERSONAL,11.58,0.1,10.0,693,No
156,31.0,male,Associate,111175.0,9,RENT,17000.0,PERSONAL,14.54,0.15,10.0,660,Yes
157,23.0,male,High School,61017.0,5,MORTGAGE,10000.0,MEDICAL,10.99,0.16,3.0,636,No
158,32.0,female,Bachelor,72109.0,11,RENT,6000.0,MEDICAL,13.22,0.08,6.0,526,Yes
159,37.0,female,Associate,313076.0,13,MORTGAGE,20000.0,VENTURE,14.96,0.06,12.0,673,Yes
160,26.0,female,Bachelor,90805.0,4,RENT,20000.0,EDUCATION,11.01,0.22,3.0,603,No
161,26.0,male,Bachelor,74484.0,0,RENT,17000.0,HOMEIMPROVEMENT,6.03,0.23,6.0,685,Yes
162,25.0,male,High School,72989.0,6,RENT,12740.0,DEBTCONSOLIDATION,10.76,0.17,7.0,646,Yes
163,22.0,male,Bachelor,46723.0,0,OWN,4800.0,MEDICAL,9.99,0.1,2.0,658,Yes
164,27.0,male,Bachelor,175296.0,6,RENT,5000.0,MEDICAL,12.69,0.03,7.0,640,Yes
165,23.0,male,Associate,61061.0,1,MORTGAGE,4000.0,PERSONAL,11.86,0.07,3.0,637,Yes
166,22.0,female,Bachelor,41502.0,0,MORTGAGE,12000.0,VENTURE,10.74,0.29,4.0,697,No
167,32.0,male,Associate,60484.0,13,MORTGAGE,10000.0,VENTURE,8.63,0.17,11.0,603,Yes
168,24.0,female,Bachelor,58763.0,0,RENT,6000.0,MEDICAL,12.22,0.1,4.0,525,Yes
169,39.0,female,Master,51235.0,16,MORTGAGE,5000.0,PERSONAL,8.49,0.1,11.0,623,Yes
170,24.0,male,Bachelor,51447.0,2,MORTGAGE,7000.0,HOMEIMPROVEMENT,8.59,0.14,2.0,669,No
171,22.0,female,High School,55974.0,2,RENT,12000.0,MEDICAL,12.84,0.21,3.0,680,No
172,28.0,male,Master,77938.0,5,MORTGAGE,5000.0,MEDICAL,13.23,0.06,6.0,705,Yes
173,33.0,male,Bachelor,75473.0,12,RENT,18500.0,EDUCATION,12.87,0.25,9.0,652,Yes
174,29.0,male,Bachelor,152381.0,7,MORTGAGE,15000.0,HOMEIMPROVEMENT,7.88,0.1,8.0,661,Yes
175,26.0,female,Associate,40358.0,2,RENT,3000.0,VENTURE,10.75,0.07,2.0,641,Yes
176,28.0,male,Bachelor,73043.0,1,RENT,2000.0,EDUCATION,11.01,0.03,6.0,695,Yes
177,30.0,female,Master,270918.0,6,RENT,25000.0,MEDICAL,12.42,0.09,10.0,694,Yes
178,26.0,female,Associate,54693.0,3,RENT,4800.0,PERSONAL,13.23,0.09,4.0,649,Yes
179,37.0,female,Associate,32776.0,14,RENT,1800.0,MEDICAL,11.36,0.05,11.0,657,No
180,27.0,female,Master,37084.0,4,RENT,7500.0,EDUCATION,14.84,0.2,7.0,640,Yes
181,26.0,male,High School,127135.0,3,MORTGAGE,7200.0,HOMEIMPROVEMENT,10.65,0.06,4.0,619,Yes
182,26.0,male,Bachelor,72262.0,4,MORTGAGE,12000.0,VENTURE,6.62,0.17,3.0,668,Yes
183,35.0,female,Bachelor,46636.0,9,RENT,9586.0,VENTURE,7.91,0.21,9.0,603,Yes
184,24.0,female,Bachelor,151335.0,0,RENT,4800.0,PERSONAL,6.76,0.03,3.0,568,Yes
185,24.0,female,Master,114909.0,3,MORTGAGE,5000.0,PERSONAL,9.88,0.04,4.0,713,No
186,23.0,male,High School,69268.0,0,RENT,7650.0,VENTURE,11.71,0.11,4.0,651,No
187,37.0,male,Associate,30023.0,16,RENT,5000.0,DEBTCONSOLIDATION,14.65,0.17,15.0,629,Yes
188,35.0,male,Associate,73038.0,11,RENT,4000.0,DEBTCONSOLIDATION,13.98,0.05,7.0,564,Yes
189,29.0,male,Associate,99192.0,7,OWN,21000.0,PERSONAL,14.65,0.21,5.0,666,No
190,22.0,male,Associate,132690.0,2,MORTGAGE,6000.0,VENTURE,9.99,0.05,3.0,587,Yes
191,23.0,male,Associate,110340.0,0,RENT,10000.0,EDUCATION,10.2,0.09,2.0,620,Yes
192,28.0,male,High School,29487.0,7,RENT,5596.0,VENTURE,12.67,0.19,5.0,677,Yes
193,31.0,female,Bachelor,145978.0,8,RENT,18400.0,HOMEIMPROVEMENT,11.01,0.13,10.0,698,No
194,23.0,male,High School,51223.0,4,RENT,11800.0,EDUCATION,12.69,0.23,2.0,631,Yes
195,28.0,female,Associate,75685.0,7,MORTGAGE,3800.0,DEBTCONSOLIDATION,6.62,0.05,7.0,621,Yes
196,28.0,female,Associate,84717.0,10,MORTGAGE,5000.0,DEBTCONSOLIDATION,11.71,0.06,8.0,690,No
197,25.0,female,High School,46950.0,2,MORTGAGE,3500.0,PERSONAL,6.03,0.07,2.0,650,Yes
198,22.0,male,Master,60990.0,0,MORTGAGE,5000.0,EDUCATION,7.51,0.08,2.0,641,Yes
199,37.0,female,High School,146068.0,16,MORTGAGE,4000.0,HOMEIMPROVEMENT,7.66,0.03,15.0,668,No
200,26.0,female,High School,83702.0,1,MORTGAGE,5000.0,PERSONAL,14.17,0.06,4.0,657,Yes
201,31.0,female,Associate,78807.0,8,MORTGAGE,8000.0,MEDICAL,11.49,0.1,5.0,697,Yes
202,25.0,male,Bachelor,29847.0,0,OWN,5000.0,MEDICAL,10.95,0.17,3.0,618,Yes
203,27.0,male,Bachelor,61178.0,3,OWN,8800.0,EDUCATION,12.29,0.14,7.0,588,Yes
204,25.0,female,Bachelor,63849.0,3,RENT,6000.0,VENTURE,14.96,0.09,2.0,668,Yes
205,22.0,male,Associate,76758.0,0,MORTGAGE,10500.0,PERSONAL,9.99,0.14,2.0,646,No
206,25.0,female,Bachelor,41742.0,3,MORTGAGE,10000.0,MEDICAL,12.87,0.24,4.0,673,Yes
207,26.0,male,High School,84973.0,4,RENT,4000.0,PERSONAL,13.85,0.05,4.0,640,Yes
208,25.0,male,High School,62701.0,4,MORTGAGE,13800.0,EDUCATION,10.38,0.22,4.0,634,Yes
209,23.0,male,High School,72953.0,2,MORTGAGE,7000.0,MEDICAL,7.61,0.1,4.0,675,Yes
210,23.0,male,Bachelor,35430.0,0,RENT,6000.0,VENTURE,7.66,0.17,4.0,682,No
211,26.0,male,Bachelor,36946.0,5,RENT,4000.0,MEDICAL,9.92,0.11,4.0,690,No
212,32.0,male,Associate,114955.0,13,MORTGAGE,5000.0,PERSONAL,7.51,0.04,10.0,614,Yes
213,34.0,female,Master,162896.0,11,MORTGAGE,15000.0,EDUCATION,13.47,0.09,7.0,570,Yes
214,29.0,male,Bachelor,94209.0,5,RENT,9000.0,HOMEIMPROVEMENT,12.42,0.1,6.0,649,Yes
215,22.0,female,High School,51434.0,0,RENT,4500.0,DEBTCONSOLIDATION,11.49,0.09,4.0,639,Yes
216,26.0,male,Associate,64317.0,0,RENT,5700.0,DEBTCONSOLIDATION,11.12,0.09,2.0,658,Yes
217,24.0,female,Bachelor,78249.0,2,RENT,5000.0,DEBTCONSOLIDATION,7.9,0.06,4.0,669,No
218,40.0,female,High School,61978.0,18,MORTGAGE,6728.0,EDUCATION,16.36,0.11,12.0,709,No
219,29.0,male,Bachelor,88075.0,7,MORTGAGE,30000.0,PERSONAL,7.49,0.34,7.0,736,Yes
220,30.0,female,Bachelor,63191.0,9,RENT,8000.0,DEBTCONSOLIDATION,11.11,0.13,8.0,667,No
221,24.0,female,Associate,25992.0,3,OWN,5000.0,PERSONAL,16.29,0.19,3.0,612,No
222,26.0,female,Bachelor,93880.0,4,MORTGAGE,6800.0,DEBTCONSOLIDATION,13.06,0.07,4.0,671,Yes
223,24.0,female,Bachelor,99210.0,4,MORTGAGE,8000.0,PERSONAL,5.79,0.08,3.0,676,Yes
224,28.0,male,Master,73281.0,8,RENT,3600.0,DEBTCONSOLIDATION,12.21,0.05,10.0,649,Yes
225,29.0,female,Doctorate,48940.0,10,RENT,7500.0,MEDICAL,12.73,0.15,9.0,589,Yes
226,25.0,female,Bachelor,52785.0,3,RENT,4000.0,EDUCATION,12.78,0.08,3.0,668,Yes
227,37.0,female,Associate,108953.0,12,MORTGAGE,3000.0,EDUCATION,11.37,0.03,11.0,642,Yes
228,25.0,male,Bachelor,60425.0,3,RENT,12000.0,MEDICAL,7.14,0.2,3.0,593,No
229,23.0,male,Master,94286.0,1,MORTGAGE,10000.0,MEDICAL,6.62,0.11,2.0,663,No
230,29.0,female,Master,73424.0,4,RENT,9600.0,EDUCATION,7.99,0.13,10.0,587,No
231,29.0,female,Bachelor,132881.0,5,RENT,24000.0,HOMEIMPROVEMENT,18.39,0.18,8.0,563,Yes
232,32.0,female,Master,103222.0,10,MORTGAGE,7500.0,EDUCATION,10.78,0.07,10.0,612,Yes
233,25.0,female,Master,75566.0,2,MORTGAGE,9501.0,EDUCATION,6.58,0.13,3.0,699,No
234,40.0,female,Associate,78111.0,15,RENT,3000.0,DEBTCONSOLIDATION,7.74,0.04,17.0,682,Yes
235,44.0,female,Doctorate,113791.0,22,MORTGAGE,4400.0,DEBTCONSOLIDATION,7.29,0.04,13.0,722,Yes
236,36.0,male,High School,97201.0,10,RENT,10000.0,PERSONAL,13.61,0.1,14.0,638,Yes
237,33.0,male,Bachelor,55399.0,13,MORTGAGE,7000.0,VENTURE,8.0,0.13,7.0,688,No
238,22.0,male,High School,36627.0,0,OWN,3000.0,PERSONAL,10.92,0.08,2.0,588,Yes
239,25.0,female,High School,120286.0,3,MORTGAGE,8500.0,PERSONAL,11.58,0.07,2.0,619,No
240,24.0,female,Bachelor,241331.0,0,MORTGAGE,12000.0,VENTURE,12.9,0.05,2.0,641,Yes
241,24.0,male,Bachelor,112314.0,0,MORTGAGE,2000.0,EDUCATION,9.58,0.02,4.0,678,Yes
242,40.0,male,Associate,138034.0,18,MORTGAGE,35000.0,DEBTCONSOLIDATION,8.9,0.25,14.0,598,Yes
243,23.0,male,Bachelor,112154.0,1,MORTGAGE,2500.0,EDUCATION,11.01,0.02,2.0,668,Yes
244,34.0,female,Bachelor,46193.0,11,MORTGAGE,14404.0,PERSONAL,12.28,0.31,6.0,603,No
245,25.0,male,Associate,30933.0,1,RENT,7500.0,EDUCATION,12.98,0.24,3.0,533,No
